Questão  1;
Dispositivo; Visitação média por req.; 
Cpu 1;14.825825825825826;
Cpu 2;10.423423423423424;
Disco Rapido;6.465465465465465;
Disco Lento;4.867867867867868;

Questão  2;
Dispositivo; Demanda média (ms); 
Cpu 1;17.500622964295406;
Cpu 2;24.889534061144953;
Disco Rapido;40.185187347984005;
Disco Lento;53.28338903640669;

Questão  3;
Nº Pool;Ui (cpu #1);Ui (cpu #2);Ui (disco rápido);Ui (disco lento);
0;0.0;0.0;0.0;0.0;
1;0.12312018230739855;0.08678934210776136;0.2393919575161087;0.21646412336002974;
2;0.9723230784652247;0.9703859300826463;0.9778309333727776;0.9746865397124037;
3;0.9994866281595017;0.9985520429245898;0.9994063116284385;0.9995877769719831;
4;0.9992695637767824;0.9993725998691381;1.0018390456893234;0.9984819031859531;
5;0.9994866281595017;0.9906054216604088;1.0018390456893234;0.9984819031859531;
6;0.9998402697740014;0.995749000848281;1.0018390456893234;0.9990089258885211;
7;1.00020921525105;0.9985520429245898;1.0018390456893234;0.9990089258885211;
8;1.00020921525105;0.9992587317456098;1.0018390456893234;1.0002969562158757;
9;1.00020921525105;0.9985520429245898;1.0018390456893234;1.0002969562158757;
10;1.00020921525105;0.9995236512152971;1.0018390456893234;1.0002969562158757;
11;0.9992695637767824;1.0001905354200842;1.0018390456893234;0.9990089258885211;
12;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
13;1.00020921525105;1.0001905354200842;0.9994063116284385;1.0002969562158757;
14;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
15;1.00020921525105;1.0001905354200842;0.9994063116284385;1.0002969562158757;
16;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
17;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
18;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
19;1.00020921525105;0.9992587317456098;1.0018390456893234;1.0002969562158757;
20;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
21;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
22;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
23;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
24;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
25;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
26;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9984819031859531;
27;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
28;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
29;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
30;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
31;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
32;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
33;1.00020921525105;1.0001905354200842;0.9994063116284385;1.0002969562158757;
34;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
35;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
36;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
37;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
38;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
39;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
40;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
41;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
42;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
43;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
44;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
45;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
46;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
47;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
48;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9984819031859531;
49;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
50;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9979284302246411;
51;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
52;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
53;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
54;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
55;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
56;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
57;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
58;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
59;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
60;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
61;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
62;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9990089258885211;
63;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
64;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
65;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
66;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9990089258885211;
